#timestamp,p_x,p_y,p_z,q_w,q_x,q_y,q_z
1772725347290270464,-0.1655072,0.0021363,-0.0001646,0.9999954,0.0006323,-0.0001585,-0.0029594
1772725347377027328,-0.1967817,0.0021390,-0.0002057,0.9999953,0.0002673,-0.0003831,-0.0030425
1772725347468323584,-0.1757166,0.0020299,0.0016965,0.9999855,0.0001983,0.0041752,-0.0033961
1772725347552605440,-0.1742632,0.0020611,0.0031503,0.9999588,0.0000753,0.0084578,-0.0032964
1772725347643702528,-0.1747556,0.0017490,0.0040878,0.9999324,-0.0001192,0.0111191,-0.0033887
1772725347727499776,-0.1677677,0.0084102,0.0039967,0.9999194,-0.0011274,0.0108083,-0.0065653
1772725347813029888,-0.1713404,0.0189941,0.0057388,0.9996643,-0.0029186,0.0112854,-0.0231382
1772725347900716800,-0.1568871,0.0183837,0.0058403,0.9991149,-0.0046697,0.0120233,-0.0400393
1772725347986041088,-0.1408165,0.0187430,0.0056341,0.9983084,-0.0051274,0.0120298,-0.0566503
1772725348069983232,-0.1279606,0.0206109,0.0044614,0.9972360,-0.0063061,0.0116994,-0.0731012
1772725348157529600,-0.1252997,0.0281979,0.0029633,0.9958009,-0.0053972,0.0102263,-0.0908125
1772725348246754048,-0.1269898,0.0288843,0.0049939,0.9945717,-0.0102255,0.0004454,-0.1035488
1772725348333566464,-0.1328332,0.0121922,0.0065745,0.9943944,-0.0186121,-0.0123280,-0.1033504
1772725348416271616,-0.1433470,0.0101874,0.0046868,0.9942214,-0.0254277,-0.0134469,-0.1034239
1772725348498939136,-0.1429846,0.0098592,0.0042944,0.9941648,-0.0279435,-0.0124191,-0.1034466
1772725348582347520,-0.1470774,0.0083375,0.0046323,0.9954360,-0.0290656,-0.0121483,-0.0900823
1772725348666302976,-0.1496558,0.0069699,0.0048057,0.9967803,-0.0297055,-0.0118306,-0.0735300
1772725348753886208,-0.1570487,0.0064158,0.0057163,0.9979300,-0.0287737,-0.0117465,-0.0563016
1772725348837092096,-0.1603789,0.0055669,0.0056067,0.9987168,-0.0284105,-0.0112200,-0.0403953
1772725348924251648,-0.1625618,0.0039955,0.0060138,0.9992660,-0.0284539,-0.0109246,-0.0232071
1772725349009726464,-0.1646162,0.0027009,0.0063694,0.9995056,-0.0289327,-0.0102577,-0.0068025
1772725349094918400,-0.1633409,0.0009304,0.0063029,0.9994903,-0.0293485,-0.0079870,0.0096953
1772725349181688320,-0.1623731,-0.0006158,0.0059929,0.9991633,-0.0302552,-0.0054547,0.0269727
1772725349267136768,-0.1633510,-0.0022966,0.0071138,0.9985226,-0.0327185,-0.0028534,0.0432884
1772725349354323200,-0.1644951,-0.0008064,0.0069325,0.9986577,-0.0316384,-0.0017161,0.0409727
1772725349439943424,-0.1630541,0.0020173,0.0051383,0.9992694,-0.0297677,-0.0013510,0.0239330
1772725349526290944,-0.1616166,0.0030513,0.0044201,0.9995592,-0.0289270,-0.0014904,0.0065175
1772725349609860864,-0.1594410,0.0040540,0.0038370,0.9995383,-0.0285549,-0.0017782,-0.0102289
1772725349694387456,-0.1580138,0.0050562,0.0035293,0.9992264,-0.0288083,-0.0019780,-0.0266969
1772725349779721728,-0.1561640,0.0058645,0.0035438,0.9988205,-0.0295759,-0.0008072,-0.0384997
1772725349862552064,-0.1539621,0.0055529,0.0033770,0.9987814,-0.0308957,0.0019789,-0.0384344
1772725349954539520,-0.1534748,0.0051421,0.0034498,0.9988282,-0.0291443,0.0027496,-0.0385405
1772725350036331520,-0.1538323,0.0049654,0.0035536,0.9988641,-0.0275921,0.0026725,-0.0387557
1772725350123979008,-0.1541353,0.0048264,0.0037092,0.9988861,-0.0265926,0.0023462,-0.0389099
1772725350206385152,-0.1543830,0.0046971,0.0038198,0.9988927,-0.0261270,0.0021014,-0.0390692
1772725350290727680,-0.1545768,0.0045540,0.0038989,0.9988917,-0.0259312,0.0018944,-0.0392345
1772725350377061376,-0.1546834,0.0044034,0.0039523,0.9988821,-0.0260719,0.0017752,-0.0393915
1772725350463426304,-0.1547496,0.0042681,0.0039844,0.9988683,-0.0263739,0.0017236,-0.0395410
1772725350548423168,-0.1549049,0.0040954,0.0040235,0.9988517,-0.0267662,0.0017086,-0.0396971
1772725350639648000,-0.1549901,0.0039488,0.0040361,0.9988365,-0.0271120,0.0017096,-0.0398459
1772725350726317568,-0.1550135,0.0038227,0.0040347,0.9988217,-0.0274505,0.0017075,-0.0399845
1772725350809843200,-0.1550408,0.0037100,0.0040293,0.9988081,-0.0277609,0.0017224,-0.0401100
1772725350891463936,-0.1550839,0.0036074,0.0040184,0.9987956,-0.0280176,0.0017143,-0.0402411
1772725350976632064,-0.1551522,0.0034887,0.0040096,0.9987837,-0.0282505,0.0017254,-0.0403732
1772725351067294720,-0.1552806,0.0033721,0.0039925,0.9987730,-0.0284387,0.0017692,-0.0405054
1772725351153046528,-0.1553274,0.0032767,0.0039737,0.9987620,-0.0286468,0.0017745,-0.0406278
1772725351237625344,-0.1553912,0.0031753,0.0039555,0.9987525,-0.0288140,0.0017858,-0.0407432
1772725351323742208,-0.1554943,0.0030605,0.0039365,0.9987436,-0.0289455,0.0018316,-0.0408657
1772725351409226496,-0.1555623,0.0029733,0.0039120,0.9987349,-0.0290716,0.0018473,-0.0409875
1772725351496968192,-0.1556730,0.0028652,0.0038903,0.9987267,-0.0291559,0.0018712,-0.0411276
1772725351583276032,-0.1557207,0.0027620,0.0038634,0.9987187,-0.0292659,0.0019105,-0.0412401
1772725351671155968,-0.1558583,0.0026760,0.0038390,0.9987122,-0.0293278,0.0019420,-0.0413534
1772725351762097152,-0.1559971,0.0025817,0.0038092,0.9987061,-0.0293615,0.0019782,-0.0414733
1772725351848272896,-0.1560157,0.0024801,0.0037851,0.9986986,-0.0294632,0.0020088,-0.0415821
1772725351927647232,-0.1560279,0.0024052,0.0037633,0.9986919,-0.0295502,0.0020220,-0.0416792
1772725352011729920,-0.1561915,0.0023140,0.0037350,0.9986873,-0.0295533,0.0020673,-0.0417851
1772725352096619520,-0.1562861,0.0022228,0.0037102,0.9986817,-0.0295746,0.0020890,-0.0419035
1772725352184201216,-0.1564001,0.0021232,0.0036835,0.9986768,-0.0295858,0.0021399,-0.0420084
1772725352270988800,-0.1565067,0.0020445,0.0036553,0.9986720,-0.0296044,0.0021768,-0.0421076
1772725352355312384,-0.1565578,0.0019634,0.0036310,0.9986668,-0.0296431,0.0022023,-0.0422018
1772725352442643712,-0.1566878,0.0018853,0.0036031,0.9986631,-0.0296343,0.0022482,-0.0422934
1772725352525378560,-0.1566930,0.0018186,0.0035837,0.9986580,-0.0296756,0.0022538,-0.0423861
1772725352609809920,-0.1568038,0.0017282,0.0035594,0.9986540,-0.0296765,0.0023004,-0.0424768
1772725352698872064,-0.1569908,0.0016807,0.0035240,0.9986508,-0.0296338,0.0023377,-0.0425782
1772725352784085760,-0.1570131,0.0015820,0.0035057,0.9986460,-0.0296625,0.0023660,-0.0426702
1772725352873396224,-0.1571684,0.0015339,0.0034744,0.9986431,-0.0296284,0.0023995,-0.0427585
1772725352959666176,-0.1572249,0.0014468,0.0034540,0.9986387,-0.0296398,0.0024256,-0.0428523
1772725353042100992,-0.1572045,0.0013632,0.0034427,0.9986341,-0.0296774,0.0024372,-0.0429337
1772725353127073792,-0.1573607,0.0012923,0.0034128,0.9986311,-0.0296526,0.0024816,-0.0430173
1772725353213267200,-0.1574537,0.0012343,0.0033893,0.9986277,-0.0296289,0.0025037,-0.0431111
1772725353298002688,-0.1575245,0.0011705,0.0033658,0.9986245,-0.0296281,0.0025314,-0.0431852
1772725353385119488,-0.1576472,0.0010959,0.0033392,0.9986218,-0.0296107,0.0025758,-0.0432567
1772725353475507712,-0.1577835,0.0010511,0.0033075,0.9986195,-0.0295618,0.0026120,-0.0433393
1772725353569410816,-0.1579072,0.0009800,0.0032818,0.9986169,-0.0295264,0.0026484,-0.0434225
1772725353661029376,-0.1579677,0.0009069,0.0032598,0.9986136,-0.0295258,0.0026709,-0.0434970
1772725353756458240,-0.1581272,0.0008425,0.0032233,0.9986113,-0.0294864,0.0027179,-0.0435726
1772725353846729472,-0.1580972,0.0007664,0.0032140,0.9986070,-0.0295075,0.0027161,-0.0436581
1772725353934212096,-0.1581131,0.0007011,0.0032043,0.9986035,-0.0295301,0.0027252,-0.0437227
1772725354021116672,-0.1582143,0.0006649,0.0031772,0.9986013,-0.0295117,0.0027586,-0.0437815
1772725354106892288,-0.1582395,0.0006024,0.0031664,0.9985981,-0.0295127,0.0027704,-0.0438534
1772725354194594560,-0.1583370,0.0005535,0.0031414,0.9985964,-0.0294806,0.0028010,-0.0439128
1772725354278948352,-0.1583223,0.0004908,0.0031355,0.9985935,-0.0294987,0.0028078,-0.0439645
1772725354366488832,-0.1584392,0.0004667,0.0031087,0.9985919,-0.0294577,0.0028366,-0.0440276
1772725354456308480,-0.1585573,0.0003982,0.0030814,0.9985898,-0.0294346,0.0028759,-0.0440873
1772725354540735744,-0.1585162,0.0003554,0.0030760,0.9985872,-0.0294514,0.0028691,-0.0441351
1772725354625281280,-0.1585546,0.0003141,0.0030637,0.9985853,-0.0294448,0.0028787,-0.0441829
1772725354716794112,-0.1587441,0.0002678,0.0030226,0.9985844,-0.0293889,0.0029378,-0.0442368
1772725354807651072,-0.1587474,0.0002339,0.0030130,0.9985828,-0.0293735,0.0029461,-0.0442820
1772725354895237120,-0.1587251,0.0001740,0.0030084,0.9985804,-0.0293917,0.0029461,-0.0443234
1772725354982371840,-0.1587678,0.0001410,0.0029934,0.9985785,-0.0293806,0.0029586,-0.0443729
1772725355068342784,-0.1588071,0.0001077,0.0029778,0.9985766,-0.0293724,0.0029725,-0.0444215
1772725355154623744,-0.1588739,0.0000412,0.0029617,0.9985738,-0.0293656,0.0030015,-0.0444854
1772725355238526464,-0.1588658,0.0000081,0.0029591,0.9985719,-0.0293688,0.0029991,-0.0445268
1772725355323944448,-0.1589264,-0.0000195,0.0029433,0.9985711,-0.0293499,0.0030196,-0.0445560
1772725355407738880,-0.1589482,-0.0000356,0.0029324,0.9985698,-0.0293399,0.0030261,-0.0445913
1772725355493231616,-0.1590418,-0.0001141,0.0029310,0.9985666,-0.0293347,0.0030359,-0.0446651
1772725355579768064,-0.1592618,0.0064400,0.0023557,0.9988338,-0.0295105,0.0033782,-0.0380635
1772725355667734016,-0.1594063,0.0064117,0.0023163,0.9988320,-0.0295056,0.0034133,-0.0381111
1772725355752620032,-0.1594262,0.0063936,0.0023034,0.9988320,-0.0295018,0.0034185,-0.0381118
1772725355838752256,-0.1594205,0.0063936,0.0023012,0.9988318,-0.0295023,0.0034396,-0.0381166
1772725355921104896,-0.1594227,0.0063859,0.0023010,0.9988318,-0.0294941,0.0034409,-0.0381233
1772725356006213120,-0.1594354,0.0063766,0.0022978,0.9988316,-0.0294873,0.0034451,-0.0381320
1772725356093060352,-0.1594179,0.0063678,0.0023001,0.9988314,-0.0294900,0.0034350,-0.0381353
1772725356176956672,-0.1594021,0.0063806,0.0023039,0.9988313,-0.0294835,0.0034598,-0.0381405
1772725356263216896,-0.1594019,0.0063676,0.0023053,0.9988319,-0.0294658,0.0034461,-0.0381402
1772725356351478272,-0.1593639,0.0063762,0.0023125,0.9988319,-0.0294681,0.0034573,-0.0381380
1772725356435976192,-0.1593643,0.0063543,0.0023203,0.9988318,-0.0294418,0.0034545,-0.0381625
1772725356519366912,-0.1593610,0.0063580,0.0023231,0.9988316,-0.0294454,0.0034614,-0.0381643
1772725356604149504,-0.1593377,0.0063599,0.0023353,0.9988330,-0.0294057,0.0034425,-0.0381591
1772725356695801088,-0.1593099,0.0063809,0.0023404,0.9988333,-0.0293892,0.0034496,-0.0381621
1772725356786553856,-0.1592716,0.0063809,0.0023543,0.9988339,-0.0293579,0.0034462,-0.0381712
1772725356873398784,-0.1592502,0.0063886,0.0023599,0.9988347,-0.0293390,0.0034370,-0.0381665
1772725356963917568,-0.1592055,0.0063995,0.0023750,0.9988358,-0.0293025,0.0034287,-0.0381670
1772725357048421632,-0.1592034,0.0063874,0.0023768,0.9988355,-0.0293019,0.0034200,-0.0381752
1772725357135921152,-0.1591559,0.0064038,0.0023902,0.9988366,-0.0292755,0.0034113,-0.0381679
1772725357224631296,-0.1591238,0.0064006,0.0024036,0.9988373,-0.0292421,0.0033986,-0.0381770
1772725357313943040,-0.1590883,0.0064056,0.0024153,0.9988380,-0.0292175,0.0033868,-0.0381774
1772725357401417472,-0.1590652,0.0064072,0.0024222,0.9988383,-0.0292072,0.0033773,-0.0381776
1772725357490327040,-0.1590262,0.0064119,0.0024352,0.9988391,-0.0291812,0.0033637,-0.0381779
1772725357578313728,-0.1589996,0.0064133,0.0024434,0.9988395,-0.0291679,0.0033522,-0.0381780
1772725357665623552,-0.1589730,0.0064150,0.0024516,0.9988400,-0.0291548,0.0033410,-0.0381779
1772725357756352768,-0.1589225,0.0064203,0.0024688,0.9988411,-0.0291188,0.0033220,-0.0381779
1772725357844889088,-0.1588999,0.0064277,0.0024741,0.9988416,-0.0291091,0.0033119,-0.0381725
1772725357931602432,-0.1588812,0.0064283,0.0024792,0.9988418,-0.0291050,0.0033026,-0.0381719
1772725358019638784,-0.1588444,0.0064309,0.0024912,0.9988425,-0.0290830,0.0032870,-0.0381714
1772725358107620096,-0.1588161,0.0064327,0.0025000,0.9988430,-0.0290687,0.0032741,-0.0381709
