#timestamp,p_x,p_y,p_z,q_w,q_x,q_y,q_z
1403636859801666560,0.0169449,-0.0723663,0.2786054,-0.0324172,0.8056334,0.0443027,0.5898655
1403636859901666304,0.0171986,-0.0733236,0.3188671,-0.0271333,0.8007421,0.0462664,0.5966032
1403636860001666560,0.0199624,-0.0773645,0.3515924,-0.0291614,0.7986800,0.0489171,0.5990550
1403636860101666560,0.0224560,-0.0816568,0.3611019,-0.0342493,0.7998786,0.0506521,0.5970391
1403636860201666560,0.0233214,-0.0871048,0.3423760,-0.0326691,0.8051305,0.0465269,0.5903666
1403636860301666560,0.0211810,-0.0898554,0.2952370,-0.0329220,0.8147205,0.0403563,0.5775102
1403636860401666304,0.0171750,-0.0915794,0.2370589,-0.0279958,0.8272178,0.0320214,0.5602692
1403636860501666560,0.0107612,-0.0935514,0.1803794,-0.0234624,0.8387846,0.0227142,0.5434833
1403636860601666560,0.0051783,-0.0951762,0.1352712,-0.0191652,0.8479064,0.0140183,0.5296140
1403636860701666560,-0.0011825,-0.0966758,0.1064403,-0.0164894,0.8525264,0.0115175,0.5222970
1403636860801666560,-0.0055615,-0.0979675,0.0993688,-0.0090799,0.8536217,0.0152365,0.5205914
1403636860901666304,-0.0080771,-0.0984411,0.1188716,-0.0042393,0.8548832,0.0201263,0.5184127
1403636861001666560,-0.0073897,-0.0984702,0.1628188,-0.0052142,0.8538468,0.0260375,0.5198466
1403636861101666560,-0.0034828,-0.0984141,0.2208125,-0.0083266,0.8471244,0.0293763,0.5305166
1403636861201666560,0.0022203,-0.0986974,0.2833566,-0.0134823,0.8355216,0.0345560,0.5482042
1403636861301666560,0.0071867,-0.0999260,0.3456008,-0.0211818,0.8221530,0.0393115,0.5675125
1403636861401666304,0.0110910,-0.1021673,0.3966346,-0.0250312,0.8110448,0.0376999,0.5832311
1403636861501666560,0.0140620,-0.1043433,0.4213161,-0.0242425,0.8041266,0.0350860,0.5929264
1403636861601666560,0.0153177,-0.1065939,0.4125635,-0.0221627,0.8049998,0.0339733,0.5918868
1403636861701666560,0.0158192,-0.1078203,0.3741513,-0.0232341,0.8114693,0.0344063,0.5829184
1403636861801666560,0.0144261,-0.1082129,0.3211299,-0.0224279,0.8184677,0.0366806,0.5729417
1403636861901666304,0.0102358,-0.1063295,0.2635359,-0.0255491,0.8262893,0.0381131,0.5613738
1403636862001666560,0.0050903,-0.1030518,0.2051855,-0.0293052,0.8377504,0.0371926,0.5439964
1403636862101666560,-0.0002400,-0.0987199,0.1524192,-0.0325450,0.8468007,0.0345930,0.5297855
1403636862201666560,-0.0043198,-0.0959879,0.1141605,-0.0355859,0.8512412,0.0354042,0.5223683
1403636862301666560,-0.0071707,-0.0959326,0.1015745,-0.0313950,0.8548236,0.0415976,0.5162950
1403636862401666304,-0.0073167,-0.0963214,0.1216655,-0.0301068,0.8578952,0.0448795,0.5109748
1403636862501666560,-0.0052965,-0.0968180,0.1689542,-0.0301099,0.8558760,0.0464092,0.5142138
1403636862601666560,0.0013602,-0.0997510,0.2308358,-0.0181857,0.8498678,0.0440922,0.5248332
1403636862701666560,0.0080742,-0.1009407,0.2987155,-0.0102003,0.8418830,0.0420450,0.5379231
1403636862801666560,0.0135613,-0.1000562,0.3672118,-0.0118217,0.8370941,0.0352529,0.5457938
1403636862901666304,0.0165865,-0.0988924,0.4313073,-0.0138015,0.8338297,0.0259966,0.5512365
1403636863001666560,0.0156688,-0.0981500,0.4752674,-0.0182125,0.8281016,0.0223250,0.5598371
1403636863101666560,0.0149649,-0.0996653,0.4842087,-0.0121794,0.8219071,0.0268814,0.5688566
1403636863201666560,0.0143236,-0.1013623,0.4588205,-0.0039183,0.8192373,0.0322542,0.5725334
1403636863301666560,0.0136625,-0.1017697,0.4072792,0.0022294,0.8206049,0.0354417,0.5703915
1403636863401666304,0.0130599,-0.1031562,0.3434324,0.0074839,0.8226900,0.0352018,0.5673500
1403636863501666560,0.0106320,-0.1041197,0.2745195,0.0060453,0.8274068,0.0308892,0.5607204
1403636863601666560,0.0046471,-0.1039210,0.2067086,-0.0063242,0.8353847,0.0279962,0.5489158
1403636863701666560,-0.0017813,-0.1041675,0.1481497,-0.0171335,0.8437940,0.0257043,0.5357774
1403636863801666560,-0.0061128,-0.1048945,0.1100754,-0.0223972,0.8516165,0.0231729,0.5231736
1403636863901666304,-0.0095529,-0.1060126,0.1050361,-0.0241652,0.8573286,0.0252029,0.5135840
1403636864001666560,-0.0101747,-0.1069755,0.1367557,-0.0280116,0.8584252,0.0291145,0.5113452
1403636864101666560,-0.0087337,-0.1073393,0.1959506,-0.0271980,0.8548750,0.0348769,0.5169455
1403636864201666560,-0.0048528,-0.1078915,0.2687887,-0.0191366,0.8503126,0.0371036,0.5246195
1403636864301666560,-0.0004810,-0.1058572,0.3390815,-0.0176503,0.8473007,0.0368401,0.5295401
1403636864401666304,0.0029696,-0.1027207,0.4006982,-0.0191612,0.8433544,0.0341447,0.5359294
1403636864501666560,0.0064008,-0.1001292,0.4520584,-0.0196789,0.8335424,0.0258063,0.5515015
1403636864601666560,0.0100296,-0.0965722,0.4805436,-0.0238666,0.8218761,0.0200553,0.5688126
1403636864701666560,0.0113476,-0.0963347,0.4769962,-0.0184969,0.8164766,0.0233965,0.5766077
1403636864801666560,0.0117934,-0.0971095,0.4420380,-0.0125633,0.8192441,0.0283740,0.5726047
1403636864901666304,0.0116234,-0.0970006,0.3874329,-0.0112956,0.8246594,0.0291185,0.5647666
1403636865001666560,0.0110766,-0.0983706,0.3264331,-0.0046746,0.8309481,0.0283070,0.5556096
1403636865101666560,0.0106786,-0.0994426,0.2646913,-0.0047744,0.8380688,0.0279659,0.5448264
1403636865201666560,0.0094153,-0.0988089,0.2093878,-0.0201526,0.8434904,0.0193868,0.5364159
1403636865301666560,0.0074523,-0.0980529,0.1670029,-0.0345093,0.8459311,0.0140527,0.5319889
1403636865401666304,0.0067306,-0.0976858,0.1403814,-0.0351174,0.8471282,0.0146384,0.5300249
1403636865501666560,0.0065249,-0.0977759,0.1346162,-0.0279273,0.8517652,0.0209084,0.5227608
1403636865601666560,0.0071201,-0.0965647,0.1572718,-0.0249629,0.8573092,0.0268379,0.5134955
1403636865701666560,0.0073583,-0.0920679,0.2044096,-0.0295604,0.8567960,0.0301487,0.5139240
1403636865801666560,0.0095343,-0.0876550,0.2659305,-0.0333109,0.8502147,0.0302881,0.5245073
1403636865901666304,0.0132368,-0.0853325,0.3341118,-0.0360815,0.8404150,0.0276968,0.5400312
1403636866001666560,0.0160149,-0.0834151,0.4027269,-0.0392305,0.8265348,0.0240221,0.5610028
1403636866101666560,0.0166612,-0.0823941,0.4644972,-0.0373780,0.8108723,0.0200802,0.5836830
1403636866201666560,0.0148988,-0.0822913,0.5074361,-0.0333321,0.8007384,0.0207613,0.5977256
1403636866301666560,0.0132313,-0.0825351,0.5197880,-0.0271777,0.8000647,0.0224921,0.5988755
1403636866401666304,0.0135118,-0.0833088,0.5006893,-0.0192931,0.8061772,0.0239516,0.5908743
