#timestamp,p_x,p_y,p_z,q_w,q_x,q_y,q_z
1403637134388318976,-0.0055948,-0.0186028,0.3801465,-0.0427195,0.7905134,0.0472944,0.6091197
1403637134488318976,-0.0035343,-0.0185114,0.3999597,-0.0484707,0.7849657,0.0408335,0.6162890
1403637134588318976,-0.0022894,-0.0209676,0.3856845,-0.0515235,0.7849785,0.0381993,0.6161939
1403637134688318976,-0.0000985,-0.0246166,0.3386005,-0.0411854,0.7909368,0.0368928,0.6093946
1403637134788319232,0.0022246,-0.0274522,0.2682924,-0.0350121,0.8014847,0.0365201,0.5958713
1403637134888318976,0.0031776,-0.0308533,0.1932410,-0.0252991,0.8156828,0.0258313,0.5773684
1403637134988318976,0.0008984,-0.0329786,0.1274341,-0.0223826,0.8237790,0.0139366,0.5662975
1403637135088318976,-0.0000841,-0.0347673,0.0805310,-0.0269534,0.8262871,0.0125873,0.5624631
1403637135188318976,-0.0034732,-0.0363682,0.0566926,-0.0238531,0.8305403,0.0143048,0.5562637
1403637135288319232,-0.0071814,-0.0386291,0.0671912,-0.0134492,0.8383859,0.0098861,0.5448215
1403637135388318976,-0.0073510,-0.0396921,0.1176940,-0.0039974,0.8369246,0.0044870,0.5472852
1403637135488318976,-0.0066682,-0.0396916,0.1947837,0.0094970,0.8247588,0.0021860,0.5654006
1403637135588318976,-0.0061651,-0.0380442,0.2817314,0.0223268,0.8109905,-0.0001892,0.5846331
1403637135688318976,-0.0052413,-0.0344895,0.3647071,0.0310002,0.7979803,-0.0061246,0.6018545
1403637135788319232,-0.0054870,-0.0300238,0.4297378,0.0297313,0.7863764,-0.0140975,0.6168707
1403637135888318976,-0.0032302,-0.0292622,0.4630024,0.0247023,0.7820950,-0.0174229,0.6224256
1403637135988318976,0.0012309,-0.0316446,0.4552048,0.0208283,0.7842717,-0.0172416,0.6198280
1403637136088318976,0.0068412,-0.0325976,0.4103401,0.0223792,0.7905423,-0.0145936,0.6118244
1403637136188318976,0.0137390,-0.0352561,0.3371056,0.0249415,0.7998509,-0.0125825,0.5995482
1403637136288319232,0.0172637,-0.0367939,0.2535796,0.0229301,0.8138926,-0.0116613,0.5804456
