#timestamp,p_x,p_y,p_z,q_w,q_x,q_y,q_z
1403638522427829504,-0.0231394,-0.0133386,0.0334562,-0.0817130,0.8066802,0.0471964,0.5834059
1403638522527829504,-0.0029740,-0.0029216,0.0584660,-0.0479624,0.8485397,0.0155961,0.5267226
1403638522627829504,0.0028345,-0.0027640,0.0829356,-0.0433250,0.8529907,0.0063567,0.5200860
1403638522727829504,-0.0002376,-0.0102199,0.1109802,-0.0462665,0.8496906,0.0141421,0.5250574
1403638522827829504,0.0117396,-0.0014857,0.1361035,-0.0336312,0.8430736,0.0068214,0.5367022
1403638522927829504,-0.0022955,-0.0104102,0.1664575,-0.0571351,0.8373609,0.0071781,0.5436090
1403638523027829504,0.0051155,-0.0084711,0.1834332,-0.0452172,0.8323023,-0.0038001,0.5524615
1403638523127829504,0.0025462,-0.0151568,0.1877688,-0.0395585,0.8293137,-0.0059935,0.5573491
1403638523227829504,-0.0003495,-0.0037678,0.1970975,-0.0071307,0.8136596,-0.0216843,0.5808932
1403638523327829504,0.0052502,0.0073564,0.1691248,0.0463946,0.8069890,-0.0472702,0.5868405
1403638523427829504,0.0165814,0.0171883,0.1657408,0.1362103,0.7953116,-0.0967283,0.5827263
1403638523527829504,0.0280517,-0.0006152,0.1243319,0.1350765,0.8033369,-0.0914587,0.5727473
1403638523627829504,0.0787932,0.0597072,0.1070891,0.1086170,0.8017733,-0.0782144,0.5824469
1403638523727829504,0.0463985,0.0153135,0.0763792,0.1678681,0.8089779,-0.1138045,0.5517459
1403638523827829504,-0.0122833,-0.0089267,0.0435457,0.1474944,0.8094366,-0.0987996,0.5597289
1403638523927829504,-0.0171129,-0.0197218,0.0221570,0.1776677,0.8091445,-0.1097677,0.5492453
1403638524027829504,-0.0272743,-0.0317650,0.0070912,0.1757532,0.8125324,-0.0959051,0.5474525
1403638524127829504,-0.0551710,-0.0493461,0.0057446,0.1750756,0.8202095,-0.0865727,0.5376896
1403638524227829504,-0.0674955,-0.0456693,0.0086947,0.1464491,0.8277902,-0.0657250,0.5375837
1403638524327829504,-0.0654227,-0.0359836,0.0607168,0.1457600,0.8272320,-0.0712083,0.5379317
1403638524427829504,-0.0581530,-0.0279992,0.1211093,0.1408309,0.8228484,-0.0739890,0.5455390
1403638524527829504,-0.0467843,-0.0185514,0.1853550,0.1372005,0.8152691,-0.0720662,0.5579595
1403638524627829504,-0.0317437,-0.0089529,0.2471400,0.1383458,0.8069272,-0.0730790,0.5695511
1403638524727829504,-0.0197035,0.0001675,0.3004473,0.1476100,0.8001749,-0.0762191,0.5763003
1403638524827829504,-0.0062357,0.0061204,0.3411286,0.1617936,0.7959772,-0.0809566,0.5776584
1403638524927829504,0.0023925,0.0146392,0.3650807,0.1546875,0.7950754,-0.0788837,0.5811233
1403638525027829504,0.0119037,0.0193245,0.3704544,0.1496360,0.7944861,-0.0740282,0.5838841
1403638525127829504,0.0124766,0.0196367,0.3516048,0.1504136,0.7925865,-0.0676777,0.5870282
1403638525227829504,0.0106605,0.0134273,0.3064794,0.1456186,0.7944011,-0.0599859,0.5866206
1403638525327829504,0.0033684,0.0060705,0.2555026,0.1401223,0.8015835,-0.0552592,0.5785983
1403638525427829504,-0.0065108,-0.0032396,0.1959753,0.1281517,0.8144638,-0.0523680,0.5634568
1403638525527829504,-0.0151018,-0.0132821,0.1365169,0.1149600,0.8275590,-0.0532185,0.5468986
1403638525627829504,-0.0267379,-0.0218873,0.0866154,0.1067756,0.8337437,-0.0541975,0.5390111
1403638525727829504,-0.0297218,-0.0264145,0.0486331,0.1058448,0.8337392,-0.0567515,0.5389389
1403638525827829504,-0.0306397,-0.0304737,0.0234867,0.1098922,0.8298696,-0.0608190,0.5436371
1403638525927829504,-0.0328247,-0.0381325,0.0068968,0.1171559,0.8263584,-0.0609535,0.5474403
1403638526027829504,-0.0403004,-0.0516923,-0.0026343,0.1205363,0.8265459,-0.0591200,0.5466239
1403638526127829504,-0.0522217,-0.0746220,-0.0021720,0.1215239,0.8282765,-0.0648104,0.5431295
1403638526227829504,-0.0667506,-0.1035185,0.0115160,0.1229294,0.8278350,-0.0736486,0.5423592
1403638526327829504,-0.0848456,-0.1362558,0.0307497,0.1269923,0.8239029,-0.0812252,0.5463144
1403638526427829504,-0.1058749,-0.1732178,0.0506412,0.1271611,0.8173766,-0.0877551,0.5549996
1403638526527829504,-0.1306602,-0.2153057,0.0679804,0.1260740,0.8098444,-0.0968412,0.5646940
1403638526627829504,-0.1583126,-0.2649553,0.0826896,0.1253270,0.8020406,-0.1033682,0.5747513
1403638526727829504,-0.1915137,-0.3201955,0.0968579,0.1302803,0.7965270,-0.1090962,0.5802326
1403638526827829504,-0.2285753,-0.3801803,0.1093368,0.1392802,0.7931196,-0.1114460,0.5823592
1403638526927829504,-0.2631460,-0.4383906,0.1191141,0.1399555,0.7932545,-0.1139364,0.5815309
1403638527027829504,-0.2987342,-0.4949302,0.1271671,0.1409407,0.7954883,-0.1228212,0.5764105
1403638527127829504,-0.3324609,-0.5482381,0.1365280,0.1442503,0.7964137,-0.1367356,0.5711571
1403638527227829504,-0.3575217,-0.5989719,0.1458541,0.1453213,0.7934420,-0.1475695,0.5723239
1403638527327829504,-0.3771339,-0.6373612,0.1555091,0.1538990,0.7870158,-0.1551071,0.5769428
1403638527427829504,-0.3796718,-0.6590571,0.1622021,0.1588048,0.7818889,-0.1550648,0.5825682
1403638527527829504,-0.3847660,-0.6584640,0.1656595,0.1618238,0.7800526,-0.1549702,0.5842219
1403638527627829504,-0.3705589,-0.6401119,0.1673035,0.1529266,0.7819381,-0.1476403,0.5859937
1403638527727829504,-0.3874093,-0.6004670,0.1711020,0.1563143,0.7827039,-0.1457350,0.5845526
1403638527827829504,-0.3338662,-0.5640637,0.1725105,0.1235909,0.7897987,-0.1226764,0.5881273
1403638527927829504,-0.3016534,-0.4994993,0.1635815,0.1051029,0.7951030,-0.1144147,0.5862370
1403638528027829504,-0.2529964,-0.4414519,0.1660585,0.0826456,0.7974940,-0.0954632,0.5899659
1403638528127829504,-0.2071536,-0.3776254,0.1609317,0.0645231,0.7991168,-0.0804525,0.5922639
1403638528227829504,-0.1822022,-0.3220822,0.1544984,0.0533035,0.8017551,-0.0706026,0.5910691
1403638528327829504,-0.1627002,-0.2803944,0.1524397,0.0450104,0.8033806,-0.0619914,0.5905173
1403638528427829504,-0.1343085,-0.2520206,0.1513885,0.0420772,0.8026669,-0.0557406,0.5923246
1403638528527829504,-0.1016855,-0.2412678,0.1501257,0.0407747,0.8035829,-0.0535450,0.5913754
1403638528627829504,-0.0710045,-0.2236470,0.1521258,0.0414541,0.8060633,-0.0623687,0.5870721
1403638528727829504,-0.0517999,-0.2168143,0.1616490,0.0442149,0.8058900,-0.0688351,0.5863856
1403638528827829504,-0.0364460,-0.2136938,0.1711171,0.0451461,0.8048369,-0.0742982,0.5870939
1403638528927829504,-0.0260095,-0.1940914,0.1768369,0.0391875,0.8045700,-0.0825904,0.5867796
1403638529027829504,-0.0458208,-0.1886278,0.1970178,0.0333072,0.8052185,-0.0866970,0.5856598
1403638529127829504,-0.0408958,-0.1792553,0.2014451,0.0380077,0.8068481,-0.0792549,0.5841834
1403638529227829504,-0.0954666,-0.1435471,0.2162141,0.0583742,0.8080570,-0.0758391,0.5812786
1403638529327829504,-0.1212252,-0.1204753,0.2041988,0.0648656,0.8117650,-0.0702652,0.5761014
1403638529427829504,-0.1458332,-0.0940668,0.1834563,0.0661275,0.8200102,-0.0667723,0.5645811
1403638529527829504,-0.1639208,-0.0730122,0.1514584,0.0624742,0.8317158,-0.0657995,0.5477373
1403638529627829504,-0.1772241,-0.0632053,0.1184122,0.0632480,0.8394449,-0.0627271,0.5360945
1403638529727829504,-0.1786727,-0.0535055,0.0846807,0.0631419,0.8397077,-0.0603511,0.5359681
1403638529827829504,-0.1831128,-0.0436687,0.0606163,0.0622589,0.8336344,-0.0605224,0.5454490
1403638529927829504,-0.1651706,-0.0478941,0.0363352,0.0604698,0.8287698,-0.0591026,0.5531644
