#timestamp,p_x,p_y,p_z,q_w,q_x,q_y,q_z
1403715529362142976,-0.0138286,0.0441721,0.1015109,-0.0035112,0.8254714,0.0069010,0.5643908
1403715529462142976,-0.0224355,0.0573695,0.0952637,0.0647965,0.8206355,-0.0321977,0.5668528
1403715529562142976,-0.0217665,0.0683242,0.1016095,0.0673611,0.8200841,-0.0261371,0.5676632
1403715529662142976,0.0045853,0.0849647,0.1163719,0.1295021,0.8164487,-0.0643623,0.5590154
1403715529762142976,0.0465048,0.1352205,0.1547131,0.3100147,0.7516191,-0.2027298,0.5457658
1403715529862142976,0.0780403,0.1560977,0.1713583,0.3318619,0.7532819,-0.2110119,0.5271699
1403715529962142976,0.1053146,0.1360577,0.1745833,0.3044070,0.7644849,-0.1868177,0.5366548
1403715530062142976,0.1360560,0.1364226,0.1915584,0.2980924,0.7641406,-0.1722154,0.5455015
1403715530162142976,0.2026584,0.1344023,0.2587706,0.3286516,0.7586263,-0.1787227,0.5334158
1403715530262142976,0.2591957,0.1523073,0.2997196,0.3335398,0.7600217,-0.1782994,0.5285144
1403715530362142976,0.3178522,0.1781708,0.3530730,0.3332573,0.7627509,-0.1805333,0.5239832
1403715530462142976,0.3811014,0.2272620,0.4154719,0.3264156,0.7601168,-0.1879629,0.5294764
1403715530562142976,0.4420926,0.2783166,0.4804387,0.3181137,0.7629176,-0.1847730,0.5316196
1403715530662142976,0.4964712,0.3311250,0.5335950,0.3076821,0.7652085,-0.1782854,0.5366582
1403715530762142976,0.5660611,0.3692810,0.5791673,0.2978434,0.7694295,-0.1704146,0.5387266
1403715530862142976,0.6205747,0.4071380,0.6162857,0.2806145,0.7774076,-0.1546609,0.5412697
1403715530962142976,0.6712559,0.4463903,0.6499166,0.2662975,0.7846503,-0.1390378,0.5422895
1403715531062142976,0.7156599,0.4935990,0.6743888,0.2507887,0.7961610,-0.1312190,0.5348030
1403715531162142976,0.7636089,0.5385053,0.6942850,0.2359953,0.8101575,-0.1292374,0.5208155
1403715531262142976,0.8137657,0.5850171,0.7065724,0.2114424,0.8134361,-0.1322499,0.5254748
1403715531362142976,0.8817837,0.6179473,0.7301605,0.1972901,0.8053076,-0.1299359,0.5437582
1403715531462142976,0.9506747,0.6447316,0.7498141,0.1912342,0.7979885,-0.1229737,0.5581409
1403715531562142976,1.0166003,0.6689544,0.7550622,0.1871642,0.7937182,-0.1172923,0.5667659
1403715531662142976,1.0873981,0.6952900,0.7605486,0.1829947,0.7919031,-0.1194002,0.5702158
1403715531762142976,1.1496709,0.7098059,0.7547675,0.1871903,0.7910836,-0.1121208,0.5714678
1403715531862142976,1.2035422,0.7172600,0.7512339,0.1944530,0.7847502,-0.1015571,0.5796907
1403715531962142976,1.2696421,0.7150259,0.7489826,0.2009093,0.7780973,-0.0958187,0.5873830
1403715532062142976,1.2911495,0.7229322,0.7467374,0.1983610,0.7747813,-0.0898556,0.5935426
1403715532162142976,1.3029332,0.7262758,0.7447908,0.1966171,0.7729813,-0.0853568,0.5971229
1403715532262142976,1.3259323,0.7274244,0.7386874,0.1917799,0.7725021,-0.0819511,0.5997875
