#timestamp,p_x,p_y,p_z,q_w,q_x,q_y,q_z
1413393218005760512,-0.1920147,0.1315181,0.1851194,0.0454795,0.8058828,-0.0194017,0.5900069
1413393218105760512,-0.1723398,0.3693162,0.2246219,0.2358185,0.7645865,-0.1754697,0.5735918
1413393218205760512,-0.2412199,0.3434087,0.2132036,0.1858597,0.7602980,-0.1593983,0.6016604
1413393218305760256,-0.3127567,0.3009314,0.1999860,0.1142518,0.7661849,-0.1211659,0.6206658
1413393218405760512,-0.4185114,0.1931853,0.2070287,-0.0083986,0.7826384,-0.0114449,0.6223147
1413393218505760512,-0.4570364,0.3024576,0.2300927,0.0433885,0.7853870,-0.0370766,0.6163685
1413393218605760512,-0.5006387,0.3569499,0.2320604,0.0684697,0.7861661,-0.0438923,0.6126403
1413393218705760512,-0.5185246,0.4324444,0.2261220,0.0955278,0.7866364,-0.0602434,0.6069995
1413393218805760256,-0.5486628,0.4924424,0.2320088,0.1108575,0.7961129,-0.0714048,0.5906066
1413393218905760512,-0.5904886,0.5130992,0.2297738,0.0883497,0.8089277,-0.0662623,0.5774423
1413393219005760512,-0.6448969,0.5395629,0.2373087,0.0790616,0.8148581,-0.0675592,0.5702555
1413393219105760512,-0.6777299,0.5530236,0.2402333,0.0581827,0.8159914,-0.0544688,0.5725434
1413393219205760512,-0.6613835,0.4839610,0.2499634,-0.0176450,0.8158811,0.0046087,0.5779320
1413393219305760256,-0.6680770,0.4869986,0.2697361,-0.0258273,0.8204066,0.0122432,0.5710657
1413393219405760512,-0.6761107,0.5111560,0.2794034,-0.0274237,0.8193645,0.0113315,0.5725045
1413393219505760512,-0.6770074,0.5274140,0.2826558,-0.0258574,0.8169606,0.0105930,0.5760162
1413393219605760512,-0.6661086,0.5469335,0.2770630,-0.0180468,0.8122160,0.0057949,0.5830487
1413393219705760512,-0.6642569,0.5601872,0.2774156,-0.0192064,0.8076946,0.0080064,0.5892337
1413393219805760256,-0.6596874,0.5809047,0.2958152,-0.0092230,0.8045394,0.0060219,0.5937971
1413393219905760512,-0.6521125,0.5864329,0.3323603,-0.0097628,0.8042560,0.0091606,0.5941322
1413393220005760512,-0.6434340,0.5943876,0.3681324,-0.0048042,0.8034694,0.0089201,0.5952598
1413393220105760512,-0.6377999,0.6040712,0.3935980,-0.0040174,0.8020875,0.0096529,0.5971151
1413393220205760512,-0.6354596,0.6090181,0.4192358,-0.0050030,0.8015268,0.0124810,0.5978076
1413393220305760256,-0.6321731,0.6210439,0.4448335,-0.0031928,0.8010307,0.0124853,0.5984845
1413393220405760512,-0.6338636,0.6248886,0.4699757,-0.0103771,0.7994836,0.0169771,0.6003583
1413393220505760512,-0.6337191,0.6381844,0.4982944,-0.0067384,0.8021634,0.0140630,0.5969009
1413393220605760512,-0.6356554,0.6504238,0.5174327,-0.0049952,0.8041107,0.0112595,0.5943520
1413393220705760512,-0.6382301,0.6621872,0.5239410,-0.0051846,0.8030800,0.0100382,0.5957641
1413393220805760256,-0.6432576,0.6743691,0.5203483,-0.0119294,0.8050392,0.0060779,0.5930705
1413393220905760512,-0.6589346,0.6779713,0.5211942,-0.0296041,0.8048542,0.0094930,0.5926577
1413393221005760512,-0.6615991,0.6893838,0.5393108,-0.0271272,0.8067803,0.0062416,0.5901955
1413393221105760512,-0.6782563,0.6872549,0.5654329,-0.0374916,0.8065928,0.0142290,0.5897457
1413393221205760512,-0.6817865,0.6871557,0.5959229,-0.0375437,0.8087418,0.0162250,0.5867401
1413393221305760256,-0.6816778,0.6855345,0.6248036,-0.0359082,0.8108859,0.0183378,0.5838137
1413393221405760512,-0.6808063,0.6789591,0.6573571,-0.0360352,0.8133200,0.0211986,0.5803125
1413393221505760512,-0.6762369,0.6748275,0.6862652,-0.0337483,0.8142703,0.0243709,0.5789913
1413393221605760512,-0.6681274,0.6709423,0.7057004,-0.0299795,0.8148516,0.0283051,0.5782014
1413393221705760512,-0.6630158,0.6686295,0.7236885,-0.0310849,0.8115471,0.0314440,0.5826116
1413393221805760256,-0.6501835,0.6694365,0.7424904,-0.0357768,0.8062845,0.0339271,0.5894695
1413393221905760512,-0.6402761,0.6729293,0.7632498,-0.0400347,0.8037534,0.0366710,0.5924804
1413393222005760512,-0.6305029,0.6746546,0.7759034,-0.0481233,0.8013186,0.0409285,0.5948929
1413393222105760512,-0.6195985,0.6777267,0.7759145,-0.0535321,0.7993804,0.0435521,0.5968488
1413393222205760512,-0.6101282,0.6813099,0.7620143,-0.0586570,0.7975859,0.0484451,0.5983888
1413393222305760256,-0.6020950,0.6857494,0.7344559,-0.0605097,0.7991156,0.0509232,0.5959528
1413393222405760512,-0.5956325,0.6898007,0.7053432,-0.0605266,0.8043201,0.0518773,0.5888246
1413393222505760512,-0.5863773,0.6960960,0.6811988,-0.0593957,0.8078570,0.0529320,0.5839841
1413393222605760512,-0.5721273,0.7062052,0.6716734,-0.0625228,0.8092694,0.0525270,0.5817344
1413393222705760512,-0.5534839,0.7137187,0.6695078,-0.0624812,0.8099902,0.0541985,0.5805812
1413393222805760256,-0.5296934,0.7240523,0.6773156,-0.0615609,0.8126512,0.0520804,0.5771447
1413393222905760512,-0.5022945,0.7324181,0.6929014,-0.0621326,0.8149308,0.0516594,0.5738977
1413393223005760512,-0.4685642,0.7417548,0.7156334,-0.0615979,0.8154188,0.0537303,0.5730715
1413393223105760512,-0.4292103,0.7515701,0.7414136,-0.0629961,0.8126549,0.0544177,0.5767687
1413393223205760512,-0.3792826,0.7569035,0.7652653,-0.0426370,0.8150498,0.0437237,0.5761634
1413393223305760256,-0.3314972,0.7628550,0.7860890,-0.0353442,0.8144769,0.0403405,0.5777117
1413393223405760512,-0.2779588,0.7735566,0.7966120,-0.0332526,0.8128641,0.0406209,0.5800830
1413393223505760512,-0.2261269,0.7847932,0.7851021,-0.0305111,0.8095906,0.0406708,0.5847889
1413393223605760512,-0.1718888,0.7964313,0.7555662,-0.0284215,0.8058419,0.0385172,0.5901927
1413393223705760512,-0.1197989,0.8082152,0.7156747,-0.0249060,0.8040316,0.0354957,0.5930034
1413393223805760256,-0.0667095,0.8198007,0.6833277,-0.0202064,0.8034188,0.0303125,0.5942988
1413393223905760512,-0.0170510,0.8335559,0.6666847,-0.0139929,0.8047403,0.0263592,0.5928764
1413393224005760512,0.0326473,0.8502425,0.6643974,-0.0102707,0.8049877,0.0227295,0.5927669
1413393224105760512,0.0843732,0.8694482,0.6627330,-0.0076951,0.8054671,0.0178581,0.5923214
1413393224205760512,0.1302417,0.8879357,0.6532243,-0.0041133,0.8054658,0.0143864,0.5924533
1413393224305760256,0.1758566,0.9082495,0.6345499,-0.0000594,0.8045765,0.0124043,0.5937194
1413393224405760512,0.2204153,0.9292526,0.6025488,0.0037797,0.8047119,0.0083444,0.5935949
1413393224505760512,0.2631087,0.9547153,0.5648827,0.0059932,0.8037818,-0.0005571,0.5948937
1413393224605760512,0.3014242,0.9808908,0.5176761,0.0068681,0.8027549,-0.0151838,0.5960762
1413393224705760512,0.3352768,1.0097851,0.4728755,0.0080815,0.8028579,-0.0312353,0.5952968
1413393224805760256,0.3584794,1.0510660,0.4366756,0.0045130,0.8039470,-0.0424970,0.5931634
1413393224905760512,0.3776708,1.0960339,0.4086381,0.0000941,0.8042104,-0.0498281,0.5922524
1413393225005760512,0.3935156,1.1392287,0.3934408,-0.0040838,0.8058498,-0.0510957,0.5898971
1413393225105760512,0.4163919,1.1715273,0.3863200,-0.0024553,0.8074607,-0.0508985,0.5877163
1413393225205760512,0.4481500,1.1913249,0.3770319,0.0016453,0.8079969,-0.0548615,0.5866247
1413393225305760256,0.4794094,1.2014482,0.3692442,0.0074623,0.8092354,-0.0595071,0.5844153
1413393225405760512,0.5136583,1.2053264,0.3623471,0.0153811,0.8089590,-0.0722426,0.5832064
1413393225505760512,0.5647396,1.2118151,0.3567479,0.0244380,0.8073994,-0.0925772,0.5821843
1413393225605760512,0.5999029,1.2053815,0.3569670,0.0370056,0.8056581,-0.1180674,0.5793149
1413393225705760512,0.6351747,1.2042692,0.3634491,0.0517045,0.8020218,-0.1426594,0.5776989
1413393225805760256,0.6710469,1.2006504,0.3751274,0.0738221,0.7973333,-0.1635665,0.5762430
1413393225905760512,0.7037338,1.1815538,0.3806899,0.1054480,0.7905283,-0.1859392,0.5739097
1413393226005760512,0.7313611,1.1621254,0.3679323,0.1336072,0.7838355,-0.2044685,0.5709148
1413393226105760512,0.7623247,1.1483422,0.3452687,0.1519215,0.7764151,-0.2256725,0.5684817
1413393226205760512,0.7960903,1.1374230,0.3269613,0.1621484,0.7702020,-0.2456376,0.5658259
1413393226305760256,0.8300245,1.1301810,0.3210187,0.1690823,0.7657556,-0.2638893,0.5615977
1413393226405760512,0.8618193,1.1246933,0.3212060,0.1722574,0.7654162,-0.2796116,0.5534282
1413393226505760512,0.8929095,1.1169615,0.3170469,0.1744985,0.7670361,-0.2927546,0.5435997
1413393226605760512,0.9220905,1.1038710,0.3062184,0.1763626,0.7674675,-0.3019895,0.5373009
