#timestamp,p_x,p_y,p_z,q_w,q_x,q_y,q_z
1413394889405760512,0.5524595,0.2918454,0.2470341,0.0107830,0.7553510,-0.0194875,0.6549419
1413394889505760512,0.5733020,0.3079043,0.2711571,0.0124480,0.7332101,-0.0149783,0.6797233
1413394889605760512,0.5507905,0.3168997,0.2845393,0.0117098,0.7551316,-0.0125314,0.6553488
1413394889705760512,0.5052522,0.3263338,0.3000000,0.0085111,0.7983917,-0.0117154,0.6019642
1413394889805760256,0.4570813,0.3394825,0.3180913,0.0030265,0.8401397,-0.0103537,0.5422627
1413394889905760512,0.4206331,0.3533178,0.3388169,-0.0022156,0.8693953,-0.0111131,0.4939872
1413394890005760512,0.3995314,0.3649801,0.3549662,-0.0050084,0.8885895,-0.0133958,0.4584804
1413394890105760512,0.3989314,0.3777072,0.3617056,-0.0057202,0.8984775,-0.0187535,0.4385816
1413394890205760512,0.4259451,0.3904569,0.3651890,-0.0036880,0.8870780,-0.0293740,0.4606692
1413394890305760256,0.4808128,0.3992952,0.3641411,-0.0048412,0.8605307,-0.0447401,0.5074070
1413394890405760512,0.5498669,0.3991106,0.3582507,-0.0024224,0.8253499,-0.0609486,0.5613171
1413394890505760512,0.6193792,0.3864934,0.3481954,0.0101343,0.7869742,-0.0752940,0.6122906
1413394890605760512,0.6731595,0.3644622,0.3357762,0.0252909,0.7550272,-0.0781820,0.6505243
1413394890705760512,0.6980397,0.3411475,0.3113207,0.0423194,0.7355903,-0.0714927,0.6723130
1413394890805760256,0.6991314,0.3173854,0.2944921,0.0517003,0.7439325,-0.0632648,0.6632414
1413394890905760512,0.6774033,0.2956419,0.2770134,0.0510078,0.7797537,-0.0634680,0.6207691
1413394891005760512,0.6411981,0.2751988,0.2603994,0.0512106,0.8213789,-0.0648079,0.5643705
1413394891105760512,0.6067779,0.2548583,0.2484744,0.0520580,0.8522073,-0.0668060,0.5163038
1413394891205760512,0.5875703,0.2345117,0.2396546,0.0512110,0.8701945,-0.0693963,0.4851011
1413394891305760256,0.5928559,0.2109743,0.2338051,0.0531517,0.8778955,-0.0696631,0.4707668
1413394891405760512,0.6246967,0.1855627,0.2364821,0.0632130,0.8714410,-0.0679029,0.4816470
1413394891505760512,0.6755523,0.1565240,0.2452900,0.0789818,0.8528831,-0.0750484,0.5106075
1413394891605760512,0.7368015,0.1234340,0.2532550,0.0994790,0.8320631,-0.0867439,0.5387489
1413394891705760512,0.8042004,0.0872585,0.2603072,0.1166318,0.8182924,-0.0985085,0.5541576
1413394891805760256,0.8483585,0.0172248,0.2715054,0.1585872,0.8109728,-0.1419307,0.5450036
1413394891905760512,0.9441508,0.0046073,0.2886913,0.1525113,0.7971359,-0.1247127,0.5707551
1413394892005760512,1.0259528,-0.0131496,0.3205996,0.1544027,0.7801835,-0.1165205,0.5948920
1413394892105760512,1.1140062,-0.0010493,0.3447375,0.1342116,0.7672797,-0.0989241,0.6192601
1413394892205760512,1.1667261,-0.0248195,0.3905102,0.1433561,0.7684950,-0.0906854,0.6169608
1413394892305760256,1.2288366,-0.0214954,0.4201195,0.1284163,0.7714060,-0.0722752,0.6190464
1413394892405760512,1.2764744,-0.0012206,0.4335100,0.1044895,0.7759316,-0.0489381,0.6201751
1413394892505760512,1.3103871,0.0309137,0.4296002,0.0753688,0.7800353,-0.0222846,0.6207800
1413394892605760512,1.3348727,0.0654839,0.4234296,0.0450097,0.7885427,0.0063208,0.6132982
1413394892705760512,1.3435504,0.1093210,0.4198480,0.0111128,0.7980258,0.0385793,0.6012844
1413394892805760256,1.3471552,0.1528318,0.4244903,-0.0190730,0.8053280,0.0717017,0.5881682
1413394892905760512,1.3503216,0.1967209,0.4333932,-0.0449472,0.8101464,0.1037602,0.5752186
1413394893005760512,1.3485113,0.2442823,0.4426191,-0.0689279,0.8153458,0.1376311,0.5581378
1413394893105760512,1.3452514,0.2950424,0.4546934,-0.0863854,0.8140034,0.1731403,0.5476846
1413394893205760512,1.3177626,0.3546313,0.4673099,-0.1157370,0.8039664,0.2203290,0.5400908
1413394893305760256,1.3012121,0.4143594,0.4850519,-0.1386461,0.7927013,0.2505819,0.5381549
1413394893405760512,1.2896265,0.4779774,0.5059468,-0.1512731,0.7770125,0.2709237,0.5476937
1413394893505760512,1.2745737,0.5477719,0.5266658,-0.1536332,0.7619904,0.2889873,0.5587968
1413394893605760512,1.2554296,0.6194986,0.5375218,-0.1509072,0.7502171,0.3027227,0.5681199
1413394893705760512,1.2285502,0.6966956,0.5392952,-0.1392541,0.7382071,0.3136130,0.5807800
1413394893805760256,1.1887822,0.7743700,0.5349863,-0.1328480,0.7296646,0.3171915,0.5910419
1413394893905760512,1.1450837,0.8567999,0.5236632,-0.1336961,0.7297928,0.3117162,0.5935999
1413394894005760512,1.0744700,0.9599594,0.5196859,-0.1451874,0.7272244,0.3080237,0.5959753
1413394894105760512,0.9984715,1.0542776,0.5084407,-0.1636370,0.7219272,0.3108986,0.5961427
1413394894205760512,0.9088964,1.1601049,0.4916838,-0.1964241,0.7212589,0.3121544,0.5863130
1413394894305760256,0.8077216,1.2576848,0.4718348,-0.2327428,0.7222304,0.3191938,0.5677405
1413394894405760512,0.6988219,1.3444611,0.4499642,-0.2612420,0.7195184,0.3342272,0.5498527
1413394894505760512,0.5904395,1.4284502,0.4210523,-0.2791095,0.7167509,0.3544975,0.5316930
1413394894605760512,0.4788343,1.5084276,0.3906534,-0.2931492,0.7109793,0.3753997,0.5173462
1413394894705760512,0.3707794,1.5831233,0.3581707,-0.3038757,0.7003318,0.3947658,0.5112287
1413394894805760256,0.2623055,1.6513377,0.3246329,-0.3066279,0.6908260,0.4122106,0.5087446
1413394894905760512,0.1547769,1.7172808,0.2935229,-0.3095545,0.6880792,0.4239778,0.5009650
1413394895005760512,0.0506668,1.7754527,0.2634624,-0.3181395,0.6924426,0.4253984,0.4882076
1413394895105760512,-0.0554688,1.8255574,0.2370576,-0.3232374,0.6970807,0.4248722,0.4786228
1413394895205760512,-0.1595556,1.8724342,0.2146448,-0.3239896,0.7015240,0.4236061,0.4727078
1413394895305760256,-0.2576959,1.9185560,0.1979913,-0.3212552,0.7022346,0.4205918,0.4761976
1413394895405760512,-0.3475243,1.9633160,0.1877810,-0.3014497,0.6955695,0.4283774,0.4917356
1413394895505760512,-0.4378547,2.0089445,0.1864482,-0.2846391,0.6927179,0.4336130,0.5011010
1413394895605760512,-0.5284694,2.0526721,0.1989177,-0.2764513,0.6946153,0.4330857,0.5035087
1413394895705760512,-0.6195596,2.0994271,0.2258098,-0.2806776,0.7016299,0.4259557,0.4974910
1413394895805760256,-0.7128810,2.1496820,0.2643312,-0.2865964,0.7070585,0.4199288,0.4915186
1413394895905760512,-0.8072124,2.2006391,0.3000567,-0.2908541,0.7083201,0.4170935,0.4896117
1413394896005760512,-0.8977646,2.2532306,0.3238506,-0.2933820,0.7070048,0.4168710,0.4901936
1413394896105760512,-0.9852484,2.3064154,0.3351659,-0.2956008,0.7062240,0.4179173,0.4890940
1413394896205760512,-1.0737894,2.3630711,0.3361990,-0.2960985,0.7062954,0.4189742,0.4877839
1413394896305760256,-1.1633937,2.4204638,0.3272784,-0.3131638,0.7122070,0.4084077,0.4773811
1413394896405760512,-1.2487245,2.4761026,0.3161934,-0.3332758,0.7205981,0.3946452,0.4625157
1413394896505760512,-1.3233393,2.5295814,0.3056889,-0.3495611,0.7273670,0.3828285,0.4496517
1413394896605760512,-1.3800582,2.5758540,0.2866030,-0.3673714,0.7345159,0.3685411,0.4355481
1413394896705760512,-1.4183539,2.6140457,0.2593029,-0.3867685,0.7405701,0.3522204,0.4217900
