#timestamp,p_x,p_y,p_z,q_w,q_x,q_y,q_z
1403636580913555456,-0.0010729,0.0151136,-0.0854400,-0.0326827,0.8324770,0.0454262,0.5512262
1403636581013555456,0.0029581,0.0164605,-0.0103482,-0.0531905,0.8212701,0.0631588,0.5645327
1403636581113555456,0.0075589,0.0142574,0.0547630,-0.0748875,0.8128704,0.0743199,0.5728089
1403636581213555456,0.0132318,0.0107840,0.1102021,-0.0828880,0.8058582,0.0711386,0.5819462
1403636581313555456,0.0165740,0.0064300,0.1500465,-0.0903416,0.7976754,0.0712442,0.5920107
1403636581413555456,0.0172862,0.0013562,0.1604282,-0.0947322,0.7945153,0.0751004,0.5950892
1403636581513555456,0.0166609,-0.0022380,0.1353389,-0.0948986,0.7991781,0.0817800,0.5878951
1403636581613555456,0.0151566,-0.0030002,0.0859120,-0.0974251,0.8076645,0.0821711,0.5757034
1403636581713555456,0.0124259,-0.0030359,0.0235417,-0.0979611,0.8128600,0.0832243,0.5680986
1403636581813555456,0.0070082,-0.0026093,-0.0425504,-0.1025599,0.8156138,0.0846686,0.5631047
1403636581913555456,0.0015059,0.0004836,-0.1110331,-0.1097885,0.8203133,0.0866150,0.5545542
1403636582013555456,-0.0031897,0.0019752,-0.1746750,-0.1121364,0.8284243,0.0868044,0.5418520
1403636582113555456,-0.0090682,0.0058342,-0.2237518,-0.1094417,0.8379687,0.0894623,0.5270933
1403636582213555456,-0.0148545,0.0087215,-0.2478862,-0.1104262,0.8444273,0.0923108,0.5159721
1403636582313555456,-0.0130505,0.0108342,-0.2363048,-0.1102023,0.8462115,0.0931590,0.5129356
1403636582413555456,-0.0095685,0.0122601,-0.1924441,-0.1120221,0.8416387,0.0917656,0.5202638
1403636582513555456,-0.0038875,0.0113634,-0.1324071,-0.1112278,0.8341102,0.0905411,0.5326264
1403636582613555456,0.0018148,0.0083203,-0.0661175,-0.1069476,0.8301994,0.0892320,0.5397860
1403636582713555456,0.0076630,0.0034103,0.0005564,-0.1033900,0.8284314,0.0852645,0.5438215
1403636582813555456,0.0156763,-0.0033261,0.0658276,-0.1010089,0.8248804,0.0768557,0.5508745
1403636582913555456,0.0231065,-0.0106215,0.1279844,-0.0998332,0.8172841,0.0676691,0.5634723
1403636583013555456,0.0259630,-0.0165876,0.1755614,-0.0997083,0.8076227,0.0639793,0.5776768
1403636583113555456,0.0268420,-0.0197450,0.1943907,-0.1001578,0.8027391,0.0656329,0.5841837
1403636583213555456,0.0240540,-0.0212951,0.1798555,-0.0957525,0.8020181,0.0679336,0.5856480
1403636583313555456,0.0225375,-0.0198889,0.1388995,-0.0969498,0.8030865,0.0703396,0.5836995
1403636583413555456,0.0214599,-0.0176035,0.0802648,-0.0993612,0.8051019,0.0725960,0.5802310
1403636583513555456,0.0180421,-0.0162633,0.0124956,-0.0997464,0.8076512,0.0772630,0.5760040
1403636583613555456,0.0154746,-0.0154109,-0.0586745,-0.0960665,0.8124596,0.0804838,0.5693883
1403636583713555456,0.0098640,-0.0124828,-0.1268192,-0.0978518,0.8229571,0.0787132,0.5540496
1403636583813555456,0.0034505,-0.0126508,-0.1855009,-0.0971356,0.8346915,0.0740707,0.5369994
