#timestamp,p_x,p_y,p_z,q_w,q_x,q_y,q_z
1403715894634057984,0.0098965,0.1845453,0.1677414,0.1721848,0.8040235,-0.1059809,0.5591660
1403715894734057984,0.0406747,0.2210765,0.1781382,0.1980306,0.7988292,-0.1362303,0.5514500
1403715894834057984,0.0239441,0.2480052,0.1975019,0.1251529,0.8122473,-0.0866351,0.5631034
1403715894934057984,0.0395297,0.2806701,0.2149821,0.1207503,0.8111138,-0.0857350,0.5658298
1403715895034057984,0.0548563,0.3182275,0.2338292,0.1166456,0.8111443,-0.0844311,0.5668422
1403715895134057984,0.0698464,0.3574282,0.2537785,0.1141154,0.8124581,-0.0840668,0.5655283
1403715895234057984,0.0862476,0.3976839,0.2723321,0.1114558,0.8144764,-0.0858538,0.5628809
1403715895334057984,0.0739804,0.4288477,0.2859218,0.1029287,0.8103636,-0.0831416,0.5707925
1403715895434057984,0.0822556,0.4724778,0.3054452,0.1006753,0.8082590,-0.0826920,0.5742333
1403715895534057984,0.0788667,0.5192064,0.3315509,0.0876927,0.8021169,-0.0788934,0.5854010
1403715895634057984,0.0764077,0.5665336,0.3584560,0.0743791,0.7961796,-0.0728869,0.5960313
1403715895734057984,0.0858012,0.6100911,0.3790456,0.0708797,0.7961064,-0.0715701,0.5967147
1403715895834057984,0.0957486,0.6541621,0.3979135,0.0702188,0.7964942,-0.0714572,0.5962887
1403715895934057984,0.1059446,0.6975712,0.4169937,0.0698985,0.7966666,-0.0714126,0.5961013
1403715896034057984,0.1164819,0.7407589,0.4344893,0.0678588,0.7973885,-0.0740280,0.5950517
1403715896134057984,0.1301838,0.7796347,0.4479670,0.0639022,0.7981830,-0.0798381,0.5936718
1403715896234057984,0.1421047,0.8187560,0.4585601,0.0556861,0.7969202,-0.0890401,0.5948858
1403715896334057984,0.1541777,0.8545869,0.4707697,0.0418134,0.7925589,-0.1010143,0.5999151
1403715896434057984,0.1624061,0.8854892,0.4861316,0.0295492,0.7893772,-0.1100632,0.6032384
1403715896534057984,0.1678685,0.9049181,0.4999366,0.0214101,0.7860807,-0.1165198,0.6066645
1403715896634057984,0.1677489,0.9165005,0.5186258,0.0150488,0.7819412,-0.1196324,0.6115796
1403715896734057984,0.1621865,0.9182421,0.5394360,0.0105903,0.7799762,-0.1206573,0.6139762
1403715896834057984,0.1481087,0.9111827,0.5633764,-0.0007345,0.7840081,-0.1188840,0.6092597
1403715896934057984,0.1240534,0.8861525,0.5894053,-0.0173900,0.7868353,-0.1183663,0.6054562
1403715897034057984,0.0992250,0.8373501,0.6117796,-0.0339126,0.7878261,-0.1245234,0.6022241
1403715897134057984,0.0694316,0.7654394,0.6366242,-0.0460479,0.7877547,-0.1246145,0.6014926
1403715897234057984,0.0411356,0.6712791,0.6598102,-0.0402260,0.7897532,-0.1202005,0.6001863
1403715897334057984,0.0094067,0.5558141,0.6846854,-0.0165177,0.7944799,-0.1024189,0.5983638
1403715897434057984,-0.0213225,0.4264820,0.7097820,0.0106216,0.7996799,-0.0821695,0.5946827
1403715897534057984,-0.0485792,0.2924173,0.7329816,0.0267802,0.8015759,-0.0714621,0.5930025
1403715897634057984,-0.0725397,0.1547635,0.7540553,0.0246128,0.8017872,-0.0724444,0.5926915
1403715897734057984,-0.0938253,0.0142893,0.7726056,0.0133966,0.8004779,-0.0779439,0.5941215
1403715897834057984,-0.1151551,-0.1295863,0.7911495,0.0053454,0.7976630,-0.0823829,0.5974264
1403715897934057984,-0.1381038,-0.2801686,0.8098079,0.0069507,0.7936623,-0.0807500,0.6029355
1403715898034057984,-0.1615917,-0.4365513,0.8290146,0.0144939,0.7892310,-0.0754302,0.6092739
1403715898134057984,-0.1858502,-0.5956395,0.8487411,0.0267299,0.7808905,-0.0705924,0.6200905
1403715898234057984,-0.2149287,-0.7557117,0.8670836,0.0399880,0.7743438,-0.0723391,0.6273434
1403715898334057984,-0.2498444,-0.9156755,0.8804495,0.0543695,0.7741143,-0.0802847,0.6255760
1403715898434057984,-0.2900286,-1.0740456,0.8888417,0.0672793,0.7784720,-0.0929930,0.6170957
1403715898534057984,-0.3353652,-1.2308446,0.8936209,0.0791302,0.7840292,-0.1102234,0.6057123
1403715898634057984,-0.3824190,-1.3851412,0.8946505,0.0927815,0.7865105,-0.1286881,0.5968518
1403715898734057984,-0.4259862,-1.5353474,0.8873303,0.1069131,0.7814780,-0.1472978,0.5967957
1403715898834057984,-0.4685108,-1.6834945,0.8670180,0.1187477,0.7798340,-0.1630737,0.5925917
1403715898934057984,-0.5070291,-1.8265870,0.8352139,0.1268342,0.7791212,-0.1752136,0.5883735
1403715899034057984,-0.5259338,-1.9856395,0.7975311,0.1295249,0.7779946,-0.1800625,0.5878140
1403715899134057984,-0.5623367,-2.1259274,0.7464006,0.1326404,0.7811315,-0.1869270,0.5807740
1403715899234057984,-0.5912790,-2.2663257,0.6993850,0.1374782,0.7892234,-0.1882171,0.5681553
1403715899334057984,-0.6206551,-2.4016203,0.6623232,0.1425520,0.7987230,-0.1875858,0.5536534
1403715899434057984,-0.6353287,-2.5315509,0.6417194,0.1478344,0.8071411,-0.1825184,0.5416228
1403715899534057984,-0.6422693,-2.6491832,0.6349502,0.1485710,0.8095235,-0.1813717,0.5382404
1403715899634057984,-0.6395492,-2.7604861,0.6319505,0.1462309,0.8107800,-0.1827114,0.5365341
1403715899734057984,-0.6243791,-2.8744673,0.6272904,0.1481304,0.8108244,-0.1800753,0.5368370
1403715899834057984,-0.6009578,-2.9893834,0.6244382,0.1569318,0.8076643,-0.1733272,0.5413026
1403715899934057984,-0.5673736,-3.1019561,0.6239931,0.1697105,0.8034584,-0.1626756,0.5469823
1403715900034057984,-0.5222959,-3.2079847,0.6232561,0.1812128,0.8012164,-0.1527770,0.5494301
