#timestamp,p_x,p_y,p_z,q_w,q_x,q_y,q_z
1403636859801666560,0.0185077,-0.0730140,0.2788577,-0.0330041,0.8068008,0.0444263,0.5882257
1403636859901666304,0.0191811,-0.0727639,0.3194080,-0.0234329,0.8028968,0.0434254,0.5940723
1403636860001666560,0.0206790,-0.0758267,0.3522599,-0.0234119,0.8015772,0.0441142,0.5958018
1403636860101666560,0.0238067,-0.0801079,0.3627818,-0.0231382,0.8041885,0.0417590,0.5924539
1403636860201666560,0.0241735,-0.0855853,0.3426327,-0.0243589,0.8087931,0.0394536,0.5862626
1403636860301666560,0.0207956,-0.0891477,0.2957988,-0.0289176,0.8169479,0.0363427,0.5748384
1403636860401666304,0.0165488,-0.0921954,0.2378215,-0.0298224,0.8295714,0.0318856,0.5566913
1403636860501666560,0.0108226,-0.0940142,0.1807292,-0.0315098,0.8422762,0.0275175,0.5374204
1403636860601666560,0.0051134,-0.0954690,0.1354601,-0.0336706,0.8512361,0.0243688,0.5231344
1403636860701666560,-0.0014619,-0.0963806,0.1062808,-0.0363651,0.8559457,0.0264330,0.5151076
1403636860801666560,-0.0056885,-0.0975300,0.0990819,-0.0295224,0.8568936,0.0305293,0.5137409
1403636860901666304,-0.0082743,-0.0989933,0.1191364,-0.0198864,0.8576709,0.0309178,0.5128833
1403636861001666560,-0.0065020,-0.0994187,0.1630620,-0.0180746,0.8558288,0.0341091,0.5158168
1403636861101666560,-0.0024439,-0.0999717,0.2216752,-0.0172338,0.8486540,0.0336037,0.5275985
1403636861201666560,0.0036057,-0.1009577,0.2847419,-0.0177705,0.8368650,0.0345973,0.5460259
1403636861301666560,0.0087473,-0.1022967,0.3472058,-0.0215332,0.8234037,0.0362895,0.5658850
1403636861401666304,0.0122770,-0.1045152,0.3983619,-0.0228135,0.8121420,0.0329429,0.5820822
1403636861501666560,0.0152813,-0.1070922,0.4228439,-0.0226268,0.8049433,0.0306994,0.5921249
1403636861601666560,0.0169590,-0.1096644,0.4139229,-0.0200850,0.8058472,0.0292776,0.5910581
1403636861701666560,0.0173625,-0.1108281,0.3756858,-0.0211090,0.8123857,0.0296328,0.5819844
1403636861801666560,0.0156304,-0.1108529,0.3222323,-0.0203084,0.8193132,0.0318893,0.5720983
1403636861901666304,0.0117904,-0.1087444,0.2642493,-0.0236447,0.8270759,0.0333724,0.5606003
1403636862001666560,0.0066413,-0.1050658,0.2058079,-0.0274758,0.8385061,0.0324296,0.5432319
1403636862101666560,0.0012064,-0.1004914,0.1529784,-0.0309409,0.8475184,0.0299265,0.5290176
1403636862201666560,-0.0025622,-0.0972754,0.1147172,-0.0344314,0.8521134,0.0310739,0.5212980
