#timestamp,p_x,p_y,p_z,q_w,q_x,q_y,q_z
1403637133688318976,-0.0062674,-0.0117253,0.0345673,-0.0770360,0.8052583,0.0622498,0.5845935
1403637133788319232,-0.0081159,-0.0171054,0.0559713,-0.0790322,0.8073223,0.0638852,0.5812944
1403637133888318976,-0.0071887,-0.0212287,0.0938154,-0.0753067,0.8137893,0.0588722,0.5732451
1403637133988318976,-0.0047018,-0.0228281,0.1504272,-0.0729503,0.8193684,0.0551437,0.5659266
1403637134088318976,-0.0029758,-0.0232736,0.2158263,-0.0669887,0.8196829,0.0559316,0.5661308
1403637134188318976,-0.0022364,-0.0238179,0.2807928,-0.0573674,0.8164104,0.0589305,0.5715857
1403637134288319232,-0.0027907,-0.0222849,0.3410369,-0.0501171,0.8069238,0.0581625,0.5856445
1403637134388318976,-0.0061280,-0.0222086,0.3846321,-0.0519504,0.7933971,0.0583679,0.6036682
1403637134488318976,-0.0044844,-0.0244113,0.4015902,-0.0691120,0.7854045,0.0601227,0.6121671
1403637134588318976,-0.0029395,-0.0251214,0.3881861,-0.0671737,0.7863002,0.0541676,0.6117889
1403637134688318976,-0.0001833,-0.0287241,0.3438165,-0.0595650,0.7922801,0.0551412,0.6047344
1403637134788319232,0.0047042,-0.0315292,0.2728229,-0.0624496,0.8041485,0.0619710,0.5878816
1403637134888318976,0.0089113,-0.0343075,0.1963388,-0.0597806,0.8210735,0.0577413,0.5647393
1403637134988318976,0.0072888,-0.0332731,0.1283040,-0.0690753,0.8311656,0.0563536,0.5488321
1403637135088318976,0.0028852,-0.0346846,0.0809333,-0.0681521,0.8339170,0.0511022,0.5452764
1403637135188318976,-0.0030479,-0.0401618,0.0580443,-0.0564807,0.8376940,0.0466489,0.5412047
1403637135288319232,-0.0068333,-0.0433251,0.0695399,-0.0450906,0.8466543,0.0424938,0.5285240
1403637135388318976,-0.0048867,-0.0447550,0.1211408,-0.0391801,0.8458502,0.0403390,0.5304481
1403637135488318976,-0.0008227,-0.0454505,0.1991045,-0.0305001,0.8342765,0.0411215,0.5489640
1403637135588318976,0.0034978,-0.0450397,0.2866682,-0.0225203,0.8209547,0.0414845,0.5690389
1403637135688318976,0.0075710,-0.0431116,0.3703419,-0.0173838,0.8085380,0.0369292,0.5870267
1403637135788319232,0.0092816,-0.0410051,0.4363437,-0.0225371,0.7984002,0.0305416,0.6009296
1403637135888318976,0.0114280,-0.0410489,0.4700252,-0.0270703,0.7938220,0.0262443,0.6069803
1403637135988318976,0.0155557,-0.0418925,0.4620903,-0.0292966,0.7955167,0.0255586,0.6046831
1403637136088318976,0.0183815,-0.0414898,0.4157612,-0.0270748,0.8008060,0.0284749,0.5976336
1403637136188318976,0.0221621,-0.0408474,0.3411421,-0.0225790,0.8090713,0.0304390,0.5864872
1403637136288319232,0.0228808,-0.0401031,0.2563926,-0.0219767,0.8221251,0.0313807,0.5680164
