#timestamp,p_x,p_y,p_z,q_w,q_x,q_y,q_z
1403638129445096960,0.0003348,-0.0054325,0.0274940,-0.0576668,0.8162505,-0.0355871,0.5737101
1403638129545097216,0.0017920,-0.0042596,0.0332049,-0.0625632,0.8324450,-0.0105503,0.5504634
1403638129645096960,0.0044629,-0.0015457,0.0415614,-0.0438035,0.8468956,0.0103886,0.5298501
1403638129745096960,0.0073089,-0.0006682,0.0551872,-0.0342868,0.8490515,0.0084622,0.5271284
1403638129845096960,0.0099185,0.0009217,0.0715233,-0.0381599,0.8542058,0.0115830,0.5184034
1403638129945096960,0.0134339,0.0039538,0.0962504,-0.0375855,0.8594548,0.0200598,0.5094334
1403638130045097216,0.0181027,0.0058298,0.1318300,-0.0445532,0.8532835,0.0157074,0.5193029
1403638130145096960,0.0228475,0.0069861,0.1712706,-0.0538895,0.8475044,0.0106167,0.5279390
1403638130245096960,0.0274118,0.0095047,0.2110220,-0.0560949,0.8472804,0.0165983,0.5279146
1403638130345096960,0.0319791,0.0104577,0.2534921,-0.0661601,0.8414691,0.0098744,0.5361484
1403638130445096960,0.0360632,0.0121567,0.2948743,-0.0748707,0.8374253,0.0051425,0.5413750
1403638130545097216,0.0376172,0.0152469,0.3337455,-0.0682223,0.8387608,0.0166221,0.5399535
1403638130645096960,0.0378839,0.0180073,0.3720423,-0.0624807,0.8346533,0.0174255,0.5469428
1403638130745096960,0.0380257,0.0176123,0.4093453,-0.0734815,0.8262092,0.0038689,0.5585372
1403638130845096960,0.0376233,0.0178047,0.4399391,-0.0831154,0.8222664,-0.0041191,0.5629857
1403638130945096960,0.0349500,0.0176410,0.4585910,-0.0815275,0.8163272,-0.0089835,0.5717364
1403638131045097216,0.0297290,0.0136489,0.4638878,-0.0762517,0.8021977,-0.0186454,0.5918758
1403638131145096960,0.0296075,0.0124142,0.4481542,-0.0685344,0.8029204,-0.0167710,0.5918957
1403638131245096960,0.0304604,0.0141584,0.4256697,-0.0552764,0.8133280,-0.0018920,0.5791706
1403638131345096960,0.0295313,0.0168872,0.3927120,-0.0486148,0.8196672,0.0061347,0.5707404
