#timestamp,p_x,p_y,p_z,q_w,q_x,q_y,q_z
1403715278912143104,0.0682505,0.0137137,0.1027525,0.0106737,0.8117248,-0.0194583,0.5836183
1403715279012142848,0.0832936,0.0171642,0.1354905,0.0119480,0.8102972,-0.0186705,0.5855998
1403715279112143104,0.0962827,0.0203071,0.1510651,0.0119851,0.8084026,-0.0179277,0.5882348
1403715279212142848,0.1063535,0.0220933,0.1484322,0.0129625,0.8059279,-0.0165739,0.5916397
1403715279312143104,0.1163383,0.0232011,0.1379844,0.0140978,0.8066965,-0.0168757,0.5905566
1403715279412143104,0.1254035,0.0246751,0.1325456,0.0126310,0.8076156,-0.0179626,0.5893003
1403715279512142848,0.1328214,0.0256465,0.1315902,0.0117062,0.8088428,-0.0181670,0.5876276
1403715279612143104,0.1388981,0.0264806,0.1346939,0.0128009,0.8099889,-0.0178476,0.5860338
1403715279712142848,0.1428568,0.0267226,0.1420908,0.0124576,0.8100256,-0.0175201,0.5860003
1403715279812143104,0.1453623,0.0262025,0.1526342,0.0115996,0.8100847,-0.0178149,0.5859273
1403715279912143104,0.1461124,0.0260339,0.1661231,0.0104762,0.8106220,-0.0169488,0.5852308
1403715280012142848,0.1462708,0.0249777,0.1801568,0.0089694,0.8152709,-0.0158840,0.5787924
1403715280112143104,0.1474552,0.0230392,0.1936224,0.0091908,0.8230504,-0.0126129,0.5677539
1403715280212142848,0.1519790,0.0209055,0.2097641,0.0125842,0.8254801,-0.0057195,0.5642619
1403715280312143104,0.1596319,0.0205413,0.2271793,0.0149926,0.8232298,0.0018235,0.5675074
1403715280412143104,0.1715546,0.0231020,0.2453355,0.0165630,0.8195959,0.0059687,0.5726715
1403715280512142848,0.1873573,0.0269769,0.2619986,0.0161900,0.8173525,-0.0046427,0.5758917
1403715280612143104,0.2045028,0.0327140,0.2773987,0.0175853,0.8143017,-0.0215635,0.5797745
1403715280712142848,0.2244967,0.0389016,0.2978273,0.0208421,0.8105871,-0.0377286,0.5840297
1403715280812143104,0.2431306,0.0453174,0.3086013,0.0248670,0.8109907,-0.0540227,0.5820285
1403715280912143104,0.2651749,0.0545555,0.3157159,0.0298085,0.8137407,-0.0686165,0.5763933
1403715281012142848,0.2896061,0.0753107,0.3225333,0.0155081,0.8225830,-0.0662611,0.5645583
1403715281112143104,0.3135252,0.0921108,0.3329408,0.0150363,0.8277281,-0.0708256,0.5564385
1403715281212142848,0.3317324,0.0969494,0.3431848,0.0254303,0.8212661,-0.0816998,0.5640925
