#timestamp,p_x,p_y,p_z,q_w,q_x,q_y,q_z
1403715528862142976,0.0261706,0.0209500,0.0661580,0.0548744,0.8179112,-0.0507732,0.5704667
1403715528962142976,0.0359434,0.0299815,0.0898642,0.0588397,0.8211387,-0.0521420,0.5652878
1403715529062142976,0.0472826,0.0418663,0.1141418,0.0605455,0.8267970,-0.0511715,0.5568864
1403715529162142976,0.0595123,0.0568849,0.1444634,0.0502498,0.8315030,-0.0422713,0.5516256
1403715529262142976,0.0729949,0.0730426,0.1808685,0.0373886,0.8376725,-0.0280823,0.5441675
1403715529362142976,0.0886958,0.0904016,0.2166939,0.0270032,0.8437618,-0.0113346,0.5359183
1403715529462142976,0.1055415,0.1078548,0.2448503,0.0192674,0.8443550,0.0042894,0.5354205
1403715529562142976,0.1228313,0.1248249,0.2639152,0.0163858,0.8409810,0.0140515,0.5406340
1403715529662142976,0.1388111,0.1428268,0.2782702,0.0105554,0.8350708,0.0242366,0.5495070
1403715529762142976,0.1578985,0.1564402,0.2925727,0.0173366,0.8325655,0.0274637,0.5529737
1403715529862142976,0.1827786,0.1777572,0.3099813,0.0146715,0.8301804,0.0312150,0.5564270
1403715529962142976,0.2068493,0.2021005,0.3325212,0.0092945,0.8256980,0.0335332,0.5630381
1403715530062142976,0.2277296,0.2307770,0.3606582,0.0035690,0.8182515,0.0434610,0.5732041
1403715530162142976,0.2493651,0.2603167,0.3906735,0.0045436,0.8138551,0.0523905,0.5786833
1403715530262142976,0.2654181,0.2959800,0.4294703,0.0047600,0.8160118,0.0606231,0.5748277
1403715530362142976,0.2821633,0.3376639,0.4813621,0.0033679,0.8185808,0.0614204,0.5710881
1403715530462142976,0.2909663,0.3870188,0.5461914,-0.0110047,0.8194626,0.0620115,0.5696618
1403715530562142976,0.2970908,0.4383088,0.6128883,-0.0255144,0.8190517,0.0693512,0.5689409
1403715530662142976,0.3007173,0.4909070,0.6693086,-0.0390220,0.8177297,0.0775414,0.5690192
1403715530762142976,0.3060328,0.5446104,0.7131650,-0.0504027,0.8166888,0.0854436,0.5684878
1403715530862142976,0.3135682,0.6015386,0.7532811,-0.0622712,0.8153448,0.0968745,0.5674068
1403715530962142976,0.3207040,0.6593622,0.7920237,-0.0703583,0.8143807,0.1090992,0.5656246
1403715531062142976,0.3269958,0.7169977,0.8274322,-0.0771080,0.8208720,0.1186898,0.5532958
1403715531162142976,0.3406173,0.7737506,0.8552841,-0.0793677,0.8326317,0.1229590,0.5341408
1403715531262142976,0.3593643,0.8339284,0.8834752,-0.0949541,0.8361284,0.1168281,0.5274696
1403715531362142976,0.3836568,0.8926161,0.9156859,-0.1106235,0.8269785,0.1116354,0.5398208
1403715531462142976,0.4157382,0.9454895,0.9436232,-0.1154882,0.8184963,0.1112934,0.5516702
1403715531562142976,0.4523738,0.9933503,0.9582388,-0.1162151,0.8135113,0.1117877,0.5587459
1403715531662142976,0.4889445,1.0368966,0.9645773,-0.1206963,0.8131964,0.1111000,0.5583912
1403715531762142976,0.5296886,1.0762082,0.9652628,-0.1130694,0.8112960,0.1160371,0.5617379
1403715531862142976,0.5711305,1.1123090,0.9709156,-0.1040284,0.8038555,0.1214591,0.5729242
1403715531962142976,0.6093421,1.1404942,0.9705454,-0.0981584,0.7970245,0.1232451,0.5830331
1403715532062142976,0.6453331,1.1677103,0.9694556,-0.0938709,0.7941233,0.1238728,0.5875474
1403715532162142976,0.6756045,1.1936151,0.9700010,-0.0908587,0.7923306,0.1252878,0.5901355
1403715532262142976,0.6985937,1.2187178,0.9680412,-0.0931827,0.7909990,0.1261643,0.5913714
1403715532362142976,0.7156397,1.2447494,0.9644343,-0.1012713,0.7930406,0.1268938,0.5871360
1403715532462142976,0.7269402,1.2658223,0.9609403,-0.1116948,0.7954290,0.1256917,0.5822530
1403715532562142976,0.7379696,1.2843308,0.9568060,-0.1234431,0.7972039,0.1218020,0.5782664
1403715532662142976,0.7450173,1.2924346,0.9518106,-0.1393758,0.7961364,0.1141294,0.5776813
1403715532762142976,0.7532073,1.2944726,0.9451418,-0.1515234,0.7935839,0.1075979,0.5793858
1403715532862142976,0.7586699,1.2832444,0.9361431,-0.1555036,0.7927685,0.1019299,0.5804713
1403715532962142976,0.7631495,1.2595834,0.9226686,-0.1531868,0.7949218,0.0912370,0.5799215
1403715533062142976,0.7666527,1.2209595,0.8985720,-0.1454969,0.7986257,0.0741496,0.5792491
1403715533162142976,0.7689855,1.1683555,0.8652663,-0.1296225,0.8000204,0.0541556,0.5832945
1403715533262142976,0.7686884,1.1005084,0.8393887,-0.1066867,0.7942453,0.0360723,0.5970688
1403715533362142976,0.7620800,1.0203982,0.8260637,-0.0844834,0.7936882,0.0220922,0.6020245
1403715533462142976,0.7490398,0.9301264,0.8271752,-0.0675433,0.7987800,0.0105406,0.5977268
1403715533562142976,0.7262746,0.8311670,0.8426462,-0.0645662,0.8049879,-0.0068306,0.5897279
1403715533662142976,0.6963324,0.7238241,0.8723569,-0.0690722,0.8105851,-0.0234786,0.5810591
1403715533762142976,0.6643293,0.6046935,0.9182157,-0.0729535,0.8139417,-0.0351546,0.5752746
1403715533862142976,0.6310469,0.4717323,0.9713194,-0.0643497,0.8167777,-0.0359149,0.5722267
1403715533962142976,0.5981859,0.3277920,1.0187149,-0.0492204,0.8184855,-0.0293144,0.5716638
1403715534062142976,0.5661732,0.1765991,1.0512669,-0.0361854,0.8194573,-0.0225237,0.5715531
1403715534162142976,0.5337959,0.0231630,1.0715841,-0.0220274,0.8193298,-0.0129761,0.5727522
1403715534262142976,0.5044491,-0.1325383,1.0786237,-0.0092292,0.8198638,-0.0030721,0.5724760
1403715534362142976,0.4803565,-0.2895883,1.0752104,-0.0038722,0.8199329,0.0032765,0.5724372
1403715534462142976,0.4577518,-0.4446883,1.0592609,0.0009758,0.8204194,0.0022018,0.5717572
1403715534562142976,0.4402608,-0.5991163,1.0344243,0.0079365,0.8203845,-0.0049727,0.5717355
1403715534662142976,0.4283705,-0.7472319,1.0059565,0.0161311,0.8211890,-0.0188357,0.5701172
1403715534762142976,0.4147591,-0.8925805,0.9762457,0.0286398,0.8239266,-0.0378787,0.5647034
1403715534862142976,0.4027940,-1.0333556,0.9446429,0.0462421,0.8284456,-0.0606081,0.5548569
1403715534962142976,0.3960991,-1.1725664,0.9125484,0.0646072,0.8311657,-0.0844208,0.5457679
1403715535062142976,0.3965059,-1.3071975,0.8814965,0.0800744,0.8318693,-0.1046479,0.5391015
1403715535162142976,0.4082064,-1.4371502,0.8504931,0.0891944,0.8352789,-0.1211818,0.5288369
1403715535262142976,0.4286892,-1.5624471,0.8195018,0.0934389,0.8392682,-0.1342260,0.5185378
1403715535362142976,0.4651573,-1.6838838,0.7910780,0.0938838,0.8410284,-0.1446126,0.5127809
1403715535462142976,0.5113935,-1.8062878,0.7638519,0.0826824,0.8358974,-0.1604527,0.5183571
1403715535562142976,0.5648476,-1.9321179,0.7394215,0.0774763,0.8255511,-0.1677127,0.5332309
1403715535662142976,0.6278974,-2.0652791,0.7184648,0.0783198,0.8160945,-0.1638340,0.5486476
1403715535762142976,0.6932074,-2.1984688,0.6971735,0.0784425,0.8138600,-0.1512440,0.5555214
1403715535862142976,0.7613250,-2.3323286,0.6756506,0.0812879,0.8153940,-0.1279061,0.5587172
1403715535962142976,0.8304327,-2.4623492,0.6512372,0.0785700,0.8221390,-0.1041833,0.5541300
