#timestamp,p_x,p_y,p_z,q_w,q_x,q_y,q_z
1413394888755760384,0.2001500,0.2260545,0.4642727,-0.0120762,0.8050425,0.0151393,0.5929010
1413394888855760640,0.2361379,0.2566683,0.4747139,-0.0225816,0.7934220,0.0140872,0.6080897
1413394888955760384,0.2713654,0.2790830,0.4783199,-0.0230886,0.7849635,0.0057781,0.6190847
1413394889055760384,0.3186044,0.2994653,0.4913988,-0.0202014,0.7803386,-0.0008016,0.6250304
1413394889155760640,0.3699572,0.3162446,0.5075458,-0.0114223,0.7776538,-0.0070137,0.6285498
1413394889255760384,0.4166898,0.3298876,0.5308005,0.0001485,0.7658185,-0.0076929,0.6430108
1413394889355760640,0.4539198,0.3431070,0.5536409,0.0077120,0.7376922,-0.0049672,0.6750749
1413394889455760384,0.4768886,0.3607796,0.5848203,0.0081831,0.7063208,-0.0004364,0.7078445
1413394889555760384,0.4761931,0.3792101,0.6057538,0.0065795,0.7075474,0.0063844,0.7066065
1413394889655760640,0.4480112,0.3849877,0.6042504,0.0092338,0.7509020,0.0062191,0.6603198
1413394889755760384,0.4058778,0.3945947,0.6146644,0.0158172,0.7979213,0.0021166,0.6025504
1413394889855760640,0.3636265,0.4083726,0.6317886,0.0166990,0.8343559,-0.0027650,0.5509662
1413394889955760384,0.3332261,0.4233967,0.6502751,0.0159073,0.8588029,-0.0086249,0.5119865
1413394890055760384,0.3205112,0.4399996,0.6602469,0.0177292,0.8751783,-0.0125923,0.4833116
1413394890155760640,0.3328504,0.4516571,0.6643828,0.0131336,0.8777647,-0.0201150,0.4784893
1413394890255760384,0.3752396,0.4601013,0.6657819,0.0096795,0.8563421,-0.0285724,0.5155270
1413394890355760640,0.4399427,0.4639132,0.6600898,0.0080646,0.8234086,-0.0419167,0.5658411
1413394890455760384,0.5141610,0.4577208,0.6504392,0.0201006,0.7853606,-0.0649085,0.6152980
1413394890555760384,0.5855601,0.4282890,0.6354238,0.0730319,0.7420777,-0.1149018,0.6563418
1413394890655760640,0.6269568,0.3971920,0.6177186,0.1034925,0.7159100,-0.1193416,0.6800881
1413394890755760384,0.6431362,0.3699959,0.6021784,0.1199851,0.7073646,-0.1139617,0.6872057
1413394890855760640,0.6280356,0.3467354,0.5844499,0.1259178,0.7331768,-0.1144952,0.6583975
1413394890955760384,0.5935162,0.3325092,0.5692260,0.1208026,0.7744121,-0.1198678,0.6093638
1413394891055760384,0.5525538,0.3205128,0.5578615,0.1164947,0.8127344,-0.1263940,0.5567012
1413394891155760640,0.5214880,0.3078891,0.5501994,0.1133019,0.8376385,-0.1316695,0.5178684
